2022-12-29 22:16:49,753 - 's'
 2022-12-29 22:16:49,875 - 'd'
 2022-12-29 22:16:49,963 - 'a'
 2022-12-29 22:16:49,964 - 's'
 2022-12-29 22:16:50,090 - 'd'
 2022-12-29 22:16:50,154 - 'a'
 2022-12-29 22:16:50,155 - 's'
 2022-12-29 22:16:50,237 - 'd'
 2022-12-29 22:16:51,197 - 's'
 2022-12-29 22:16:51,242 - 'd'
 2022-12-29 22:16:51,387 - 's'
 2022-12-29 22:16:51,452 - 'd'
 2022-12-29 22:27:06,352 - Key.backspace
 2022-12-29 22:27:06,518 - Key.backspace
 2022-12-29 22:27:07,264 - '5'
 2022-12-29 22:27:07,311 - '0'
